id,label,bandit_high,bandit_medium,bandit_low,bandit_conf_high,bandit_conf_medium,bandit_conf_low,semgrep_high,semgrep_medium,semgrep_low,total_bandit,total_semgrep,risk_score
docs_src/commands/callback/tutorial001_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
typer/_completion_classes.py,0,0,0,2,2,0,0,0,0,0,2,0,58.18348935044831
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
docs_src/subcommands/name_help/tutorial005_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
examples/layout.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
CWE-89,1,0,1,0,0,1,0,1,0,0,1,1,99.89728985798652
rich/screen.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
docs_src/commands/help/tutorial001_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
typer/completion.py,0,0,2,1,1,0,2,0,0,0,3,0,20.54689417126871
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
CWE-078_author_1.py,1,1,0,1,2,0,0,1,0,0,2,1,99.91744003139237
CWE-78,1,1,0,0,1,0,0,1,0,0,1,1,99.82745085306777
typer/cli.py,0,0,0,3,3,0,0,0,0,0,3,0,74.42865445934113
rich/_unicode_data/unicode15-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
docs_src/commands/help/tutorial007_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
CWE-703,1,0,0,8,8,0,0,0,0,0,8,0,99.14958436114861
CWE-327_codeql_2.py,1,0,0,1,0,1,0,0,1,0,1,1,95.87099252380817
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
CWE-703,1,0,0,18,18,0,0,0,0,0,18,0,99.99946544564408
typer/_typing.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
typer/_click/_textwrap.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
CWE-377_codeql_1.py,1,0,1,0,1,0,0,0,0,0,1,0,61.7978637442286
CWE-89,1,0,0,0,0,0,0,1,1,0,0,2,96.07070104880104
typer/_completion_shared.py,0,0,8,4,4,0,8,0,0,0,12,0,12.213020819621837
typer/_click/parser.py,0,0,0,2,2,0,0,0,0,0,2,0,58.18348935044831
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,58.18348935044831
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,58.18348935044831
typer/_click/_compat.py,0,0,0,5,5,0,0,0,0,0,5,0,92.72021405568303
docs_src/options_autocompletion/tutorial005_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
CWE-020_author_1.py,1,0,1,0,1,0,0,0,0,0,1,0,61.7978637442286
CWE-079_codeql_1.py,1,1,0,0,1,0,0,0,2,0,1,2,98.610574382588
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
CWE-703,1,0,0,9,9,0,0,0,0,0,9,0,99.59165365828156
rich/json.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
src/click/decorators.py,0,0,0,4,4,0,0,0,0,0,4,0,85.89294688350996
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,58.18348935044831
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,58.18348935044831
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
typer/_click/_termui_impl.py,0,0,0,6,6,0,0,0,0,0,6,0,96.38250629023031
CWE-094_sonar_1.py,1,0,1,0,1,0,0,1,2,0,1,3,99.62095536319481
CWE-703,1,0,0,7,7,0,0,0,0,0,7,0,98.23740778008117
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0,85.89294688350996
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0,74.42865445934113
tests/assets/cli/multi_app_norich.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
CWE-601_sonar_1.py,1,0,0,0,0,0,0,0,1,0,0,1,40.185568207179855
docs_src/options/help/tutorial002_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
examples/naval/naval.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
rich/status.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
docs_src/options/help/tutorial002_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0,74.42865445934113
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
CWE-94,1,0,1,0,1,0,0,0,1,0,1,1,77.36512785519056
rich/_wrap.py,0,0,0,0,0,0,0,0,0,0,0,0,24.125595365054796
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,39.94522667094409
