id,label,bandit_high,bandit_medium,bandit_low,bandit_conf_high,bandit_conf_medium,bandit_conf_low,semgrep_high,semgrep_medium,semgrep_low,total_bandit,total_semgrep,risk_score
CWE-703,1,0,0,2,2,0,0,0,0,2,2,2,98.50204850021208
CWE-259,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,1,0,0,1,39.21500736406632
CWE-703,1,0,0,7,7,0,0,0,0,0,7,0,99.99948651843494
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
docs/source/conf.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
examples/termui/termui.py,0,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
CWE-259,1,0,0,3,0,3,0,0,1,0,3,1,99.85428689464317
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
rich/_unicode_data/unicode14-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
CWE-327_codeql_1.py,1,1,0,0,1,0,0,0,1,0,1,1,89.4454499813363
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0,99.8309150010312
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
examples/jobs.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-20,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,7,7,0,0,0,0,0,7,0,99.99948651843494
CWE-703,1,0,0,7,7,0,0,0,0,0,7,0,99.99948651843494
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
CWE-703,1,0,0,3,2,1,0,0,0,0,3,0,99.21376950824673
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0,98.84328900772599
CWE-259,1,0,0,1,0,1,0,0,0,0,1,0,72.55237094337275
CWE-703,1,0,0,9,9,0,0,0,0,0,9,0,99.99998924397642
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
CWE-327_codeql_2.py,1,0,0,1,0,1,0,0,1,0,1,1,86.81180224995899
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0,98.84328900772599
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,8,8,0,0,0,0,0,8,0,99.99992568283803
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
CWE-502,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
rich/_ratio.py,0,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
CWE-78,1,1,0,0,1,0,0,0,0,0,1,0,77.28861811563054
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
rich/repr.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-259_author_2.py,1,0,0,1,0,1,0,0,0,0,1,0,72.55237094337275
CWE-703,1,0,1,1,1,1,0,0,0,0,2,0,84.26284567708421
CWE-330_author_1.py,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
tests/assets/cli/multi_app_norich.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-89,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
,0,1,0,0,1,0,0,0,0,0,1,0,77.28861811563054
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
"CWE-259, CWE-703",1,0,0,7,6,1,0,0,0,0,7,0,99.99965228307221
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,5,5,0,0,0,0,0,5,0,99.97549267368593
CWE-703,1,0,0,8,8,0,0,0,0,0,8,0,99.99992568283803
typer/_click/utils.py,0,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
docs_src/subcommands/name_help/tutorial007_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0,99.8309150010312
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
,0,0,1,0,0,0,1,0,0,0,1,0,11.645949431896433
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0,98.84328900772599
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-89,1,0,1,0,0,0,1,1,1,0,1,2,82.11214475054844
typer/_click/globals.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0,99.8309150010312
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
typer/cli.py,0,0,0,3,3,0,0,0,0,0,3,0,98.84328900772599
CWE-79,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,9,9,0,0,0,0,0,9,0,99.99998924397642
rich/pager.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
rich/markdown.py,0,0,0,6,6,0,0,0,0,0,6,0,99.99645228008785
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
docs_src/commands/help/tutorial005_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,5,5,0,0,0,0,0,5,0,99.97549267368593
tests/atomic_write_example.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,18,18,0,0,0,0,0,18,0,99.99999999999972
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-79,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
rich/_log_render.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,1,1,0,0,0,2,0,1,2,91.73583655641963
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0,98.84328900772599
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-330,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
"CWE-259, CWE-703",1,0,0,2,1,1,0,0,0,0,2,0,94.80884002771792
"CWE-327, CWE-330",1,1,0,1,2,0,0,0,0,0,2,0,95.92054625037521
docs_src/commands/options/tutorial001_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-327,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,5,5,0,0,0,0,0,5,0,99.97549267368593
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-79,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0,98.84328900772599
CWE-89,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-327,1,1,0,0,1,0,0,0,0,0,1,0,77.28861811563054
scripts/prepare_release.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
CWE-703,1,0,0,5,5,0,0,0,0,0,5,0,99.97549267368593
CWE-703,1,0,0,2,1,1,0,0,0,0,2,0,94.80884002771792
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
CWE-295,1,1,1,0,1,0,1,1,1,0,2,2,98.36865797587049
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-89,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
CWE-732,1,0,1,0,1,0,0,0,1,0,1,1,56.65046733608163
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0,98.84328900772599
CWE-703,1,0,0,5,5,0,0,0,0,0,5,0,99.97549267368593
CWE-94,1,0,1,0,1,0,0,0,1,0,1,1,56.65046733608163
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-78,1,1,0,0,1,0,0,0,0,0,1,0,77.28861811563054
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,7,7,0,0,0,0,0,7,0,99.99948651843494
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
"CWE-327, CWE-703",1,1,0,1,2,0,0,0,0,0,2,0,95.92054625037521
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,92.51921360116503
CWE-20,1,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
"CWE-259, CWE-703",1,0,4,2,1,1,4,0,0,0,6,0,55.03364689843801
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-330,1,0,0,3,3,0,0,0,0,0,3,0,98.84328900772599
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,64.15738840915614
,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
"CWE-259, CWE-703",1,0,0,3,2,1,0,0,0,0,3,0,99.21376950824673
examples/layout.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
docs_src/arguments/help/tutorial007_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,20.576007088183278
CWE-703,1,0,0,24,24,0,0,0,0,0,24,0,100.0
CWE-259,1,0,0,1,0,1,0,0,0,0,1,0,72.55237094337275
