id,label,bandit_high,bandit_medium,bandit_low,bandit_conf_high,bandit_conf_medium,bandit_conf_low,semgrep_high,semgrep_medium,semgrep_low,total_bandit,total_semgrep,risk_score
CWE-703,1,0,0,2,2,0,0,0,0,2,2,2,88.09913097346725
CWE-259,1,0,0,0,0,0,0,0,0,0,0,0,11.015135348666632
,0,0,0,0,0,0,0,0,1,0,0,1,54.31367174940416
CWE-703,1,0,0,7,7,0,0,0,0,0,7,0,100.0
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,11.015135348666632
,0,0,0,0,0,0,0,0,0,0,0,0,11.015135348666632
CWE-Unknown,0,0,0,0,0,0,0,0,0,0,0,0,11.015135348666632
docs/source/conf.py,0,0,0,0,0,0,0,0,0,0,0,0,11.015135348666632
examples/termui/termui.py,0,0,0,2,2,0,0,0,0,0,2,0,89.95003017504536
CWE-259,1,0,0,3,0,3,0,0,1,0,3,1,92.64028055278055
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,94.22362040676414
rich/_unicode_data/unicode14-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0,11.015135348666632
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,94.22362040676414
CWE-327_codeql_1.py,1,1,0,0,1,0,0,0,1,0,1,1,93.64318606949432
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0,93.1600250796771
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,89.95003017504536
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,94.22362040676414
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,94.22362040676414
examples/jobs.py,0,0,0,0,0,0,0,0,0,0,0,0,11.015135348666632
CWE-20,1,0,0,0,0,0,0,0,0,0,0,0,11.015135348666632
CWE-703,1,0,0,7,7,0,0,0,0,0,7,0,100.0
CWE-703,1,0,0,7,7,0,0,0,0,0,7,0,100.0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,94.22362040676414
CWE-703,1,0,0,3,2,1,0,0,0,0,3,0,99.70629595908129
,0,0,0,0,0,0,0,0,0,0,0,0,11.015135348666632
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,94.22362040676414
,0,0,0,0,0,0,0,0,0,0,0,0,11.015135348666632
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0,94.22362040676414
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0,89.95003017504536
,0,0,0,0,0,0,0,0,0,0,0,0,11.015135348666632
