id,label,bandit_high,bandit_medium,bandit_low,bandit_conf_high,bandit_conf_medium,bandit_conf_low,semgrep_high,semgrep_medium,semgrep_low,total_bandit,total_semgrep
CWE-020_author_1.py,1,0,1,0,1,0,0,0,0,0,1,0
CWE-020_author_2.py,1,0,1,1,2,0,0,0,0,0,2,0
CWE-020_codeql_1.py,1,0,0,0,0,0,0,0,1,0,0,1
CWE-020_codeql_2.py,1,0,1,1,2,0,0,1,1,0,2,2
CWE-020_codeql_3.py,1,0,0,0,0,0,0,1,0,0,0,1
CWE-020_codeql_4.py,1,0,0,0,0,0,0,1,0,0,0,1
CWE-022_author_2.py,1,0,1,0,1,0,0,0,1,0,1,1
CWE-022_codeql_1.py,1,0,0,0,0,0,0,1,1,0,0,2
CWE-022_codeql_2.py,1,0,1,0,0,1,0,0,0,0,1,0
CWE-078_author_1.py,1,1,0,1,2,0,0,1,0,0,2,1
CWE-078_codeql_1.py,1,1,0,0,1,0,0,3,0,0,1,3
CWE-079_codeql_1.py,1,1,0,0,1,0,0,0,2,0,1,2
CWE-079_codeql_2.py,1,0,0,0,0,0,0,0,1,0,0,1
CWE-079_sonar_1.py,1,0,0,0,0,0,0,0,1,0,0,1
CWE-080_author_1.py,1,0,0,0,0,0,0,0,3,0,0,3
CWE-089_author_1.py,1,0,1,1,0,2,0,1,1,0,2,2
CWE-089_codeql_1.py,1,0,1,1,0,2,0,1,1,0,2,2
CWE-094_codeql_1.py,1,0,1,0,1,0,0,1,1,0,1,2
CWE-094_sonar_1.py,1,0,1,0,1,0,0,1,2,0,1,3
CWE-095_author_1.py,1,0,1,0,1,0,0,0,1,0,1,1
CWE-116_author_1.py,1,1,1,0,1,1,0,3,0,0,2,3
CWE-200_author_1.py,1,0,1,0,0,0,1,1,0,0,1,1
CWE-259_author_1.py,1,0,0,1,0,1,0,0,0,0,1,0
CWE-259_author_2.py,1,0,0,1,0,1,0,0,0,0,1,0
CWE-295_codeql_1.py,1,1,1,0,1,0,1,1,0,0,2,1
CWE-319_author_1.py,1,0,0,0,0,0,0,0,1,0,0,1
CWE-319_author_2.py,1,2,0,0,2,0,0,0,0,1,2,1
CWE-326_author_1.py,1,1,1,0,2,0,0,0,1,0,2,1
CWE-326_author_2.py,1,1,1,0,2,0,0,0,1,0,2,1
CWE-327_codeql_1.py,1,1,0,0,1,0,0,0,1,0,1,1
CWE-327_codeql_2.py,1,0,0,1,0,1,0,0,1,0,1,1
CWE-327_codeql_3.py,1,1,0,0,1,0,0,0,0,0,1,0
CWE-330_author_1.py,1,0,0,1,1,0,0,0,0,0,1,0
CWE-377_codeql_1.py,1,0,1,0,1,0,0,0,0,0,1,0
CWE-502_author_1.py,1,0,0,1,1,0,0,0,1,0,1,1
CWE-502_codeql_1.py,1,0,1,1,2,0,0,0,1,0,2,1
CWE-502_mitre_1.py,1,0,0,0,0,0,0,0,2,0,0,2
CWE-502_sonar_1.py,1,0,1,0,1,0,0,1,0,0,1,1
CWE-601_codeql_1.py,1,0,0,0,0,0,0,1,0,0,0,1
CWE-601_sonar_1.py,1,0,0,0,0,0,0,0,1,0,0,1
CWE-601_sonar_2.py,1,0,0,0,0,0,0,1,0,0,0,1
CWE-611_sonar_4.py,1,0,1,1,2,0,0,0,0,0,2,0
CWE-703_author_3.py,1,0,0,1,1,0,0,0,0,0,1,0
CWE-732_author_1.py,1,0,1,2,3,0,0,0,1,0,3,1
CWE-798_author_1.py,1,0,0,1,0,1,0,0,0,0,1,0
CWE-798_codeql_1.py,1,0,0,1,0,1,0,0,0,0,1,0
CWE-918_codeql_1.py,1,0,1,0,0,0,1,0,2,0,1,2
CWE-918_codeql_2.py,1,0,1,0,0,0,1,1,0,0,1,1
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,11,11,0,0,0,0,0,11,0
"CWE-78, CWE-703",1,1,0,3,4,0,0,1,0,0,4,1
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-89,1,0,1,0,0,1,0,1,1,0,1,2
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,14,14,0,0,0,0,0,14,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-327,1,2,0,0,2,0,0,0,0,0,2,0
CWE-703,1,0,0,7,7,0,0,0,0,0,7,0
"CWE-330, CWE-703",1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-89,1,0,0,0,0,0,0,1,1,0,0,2
CWE-330,1,0,0,1,1,0,0,0,0,0,1,0
CWE-732,1,0,1,0,1,0,0,0,1,0,1,1
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
"CWE-259, CWE-703",1,0,0,2,1,1,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,8,8,0,0,0,0,0,8,0
CWE-89,1,0,2,0,0,0,2,0,0,0,2,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
"CWE-22, CWE-78",1,3,0,0,3,0,0,3,0,0,3,3
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-330,1,0,0,3,3,0,0,0,0,0,3,0
CWE-502,1,0,1,0,1,0,0,0,2,0,1,2
CWE-327,1,1,0,0,1,0,0,0,0,0,1,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,15,15,0,0,0,0,0,15,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-94,1,0,1,0,1,0,0,0,1,0,1,1
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
"CWE-94, CWE-703",1,0,1,1,2,0,0,0,1,0,2,1
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,5,5,0,0,0,0,0,5,0
CWE-703,1,0,5,5,5,5,0,0,0,0,10,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-259,1,0,0,1,0,1,0,0,0,0,1,0
CWE-330,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,9,9,0,0,0,0,0,9,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-78,1,0,1,0,0,0,1,0,0,0,1,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-89,1,0,0,0,0,0,0,3,3,0,0,6
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-78,1,1,0,0,1,0,0,0,0,0,1,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,5,5,0,0,0,0,0,5,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-502,1,0,2,0,2,0,0,0,0,0,2,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,9,9,0,0,0,0,0,9,0
CWE-703,1,0,0,2,2,0,0,0,0,2,2,2
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
"CWE-78, CWE-703",1,0,0,3,3,0,0,0,0,0,3,0
CWE-330,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-259,1,0,0,1,0,1,0,0,0,0,1,0
"CWE-259, CWE-703",1,0,0,3,2,1,0,0,0,0,3,0
CWE-94,1,0,1,0,1,0,0,0,1,0,1,1
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,5,5,0,0,0,0,0,5,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-259,1,0,0,1,0,1,0,0,0,0,1,0
CWE-89,1,0,1,0,0,1,0,1,0,0,1,1
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-330,1,0,0,6,6,0,0,0,0,0,6,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-89,1,0,0,0,0,0,0,1,1,0,0,2
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-89,1,0,0,0,0,0,0,1,0,0,0,1
CWE-89,1,0,0,0,0,0,0,1,1,0,0,2
CWE-78,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-78,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
"CWE-259, CWE-703",1,0,0,7,6,1,0,0,0,0,7,0
CWE-703,1,0,0,5,5,0,0,0,0,0,5,0
CWE-78,1,1,0,0,1,0,0,1,0,0,1,1
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,12,12,0,0,0,0,0,12,0
"CWE-22, CWE-78",1,3,0,0,3,0,0,3,0,0,3,3
CWE-327,1,1,0,0,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,5,5,0,0,0,0,0,5,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
"CWE-94, CWE-330",1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,4,4,0,0,0,0,0,4,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,7,7,0,0,0,0,0,7,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-259,1,0,0,1,0,1,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,6,6,0,0,0,0,0,6,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,18,18,0,0,0,0,0,18,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-330,1,0,0,1,1,0,0,0,0,0,1,0
CWE-78,1,2,1,0,2,0,1,2,0,0,3,2
CWE-327,1,1,0,0,1,0,0,0,1,0,1,1
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-89,1,0,0,0,0,0,0,1,1,0,0,2
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-295,1,1,1,0,1,0,1,1,1,0,2,2
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
"CWE-327, CWE-330",1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,3,3,0,0,0,0,0,3,0
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-89,1,0,0,1,0,1,0,1,1,0,1,2
CWE-703,1,0,0,1,1,0,0,0,0,0,1,0
CWE-703,1,0,0,2,2,0,0,0,0,0,2,0
"CWE-330, CWE-703",1,0,0,2,2,0,0,0,0,0,2,0
