sample_id,label,bandit_high,bandit_medium,bandit_low,bandit_conf_high,bandit_conf_medium,bandit_conf_low,semgrep_high,semgrep_medium,semgrep_low,total_bandit,total_semgrep,risk_score
docs_src/commands/help/tutorial001_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_21,1,0,1,0,1,0,0,1,1,0,1,2,99.96875409427844
docs_src/commands/help/tutorial007_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs_src/commands/help/tutorial006_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
rich/_unicode_data/unicode12-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_46,1,1,1,0,1,0,1,1,0,0,2,1,99.98054506012627
docs_src/commands/help/tutorial004_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_101,1,0,1,1,2,0,0,0,0,0,2,0,87.04185593916334
sample_81,1,0,1,0,1,0,0,1,0,0,1,1,99.38567014381306
docs_src/commands/options/tutorial001_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_63,1,0,0,0,0,0,0,1,0,0,0,1,93.12020869568981
sample_12,1,1,0,0,1,0,0,0,2,0,1,2,99.9545923750543
sample_52,1,1,1,0,2,0,0,0,1,0,2,1,99.92489043328642
sample_9,1,0,1,0,0,1,0,0,0,0,1,0,98.5135240485227
sample_22,1,0,1,0,1,0,0,1,2,0,1,3,99.99841957838308
rich/_palettes.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/attrs.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
rich/_unicode_data/unicode14-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_83,1,0,0,1,0,1,0,0,0,0,1,0,93.29092628058919
rich/_inspect.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_39,1,0,0,1,0,1,0,0,0,0,1,0,93.29092628058919
docs_src/commands/options/tutorial001_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_36,1,1,0,0,0,1,0,0,2,0,1,2,99.99816399826909
rich/_export_format.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/log.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
rich/_unicode_data/unicode11-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
benchmarks/benchmarks.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_109,1,1,0,0,1,0,0,0,1,0,1,1,99.10958858087523
examples/imagepipe/imagepipe.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_40,1,0,0,1,0,1,0,0,0,0,1,0,93.29092628058919
sample_32,1,2,0,0,2,0,0,0,0,0,2,0,99.29753271808237
sample_15,1,0,0,0,0,0,0,0,3,0,0,3,99.94234155064994
examples/print_calendar.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_11,1,1,0,0,1,0,0,3,0,0,1,3,99.99991936265008
examples/table_movie.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_75,1,0,0,1,0,1,0,0,0,0,1,0,93.29092628058919
sample_108,1,0,1,2,3,0,0,0,1,0,3,1,99.70072418979433
sample_37,1,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
src/click/_utils.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_4,1,0,0,0,0,0,0,1,0,0,0,1,93.12020869568981
sample_47,1,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_60,1,0,0,1,1,0,0,0,0,0,1,0,35.97927750186518
rich/_unicode_data/unicode12-1-0.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
rich/_unicode_data/unicode16-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_16,1,0,1,1,0,2,0,1,1,0,2,2,99.99997964146813
sample_10,1,1,0,1,2,0,0,1,0,0,2,1,99.88283620596437
src/click/globals.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/spinners.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs_src/commands/help/tutorial001_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs/source/conf.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_104,1,0,0,1,1,0,0,0,0,0,1,0,35.97927750186518
rich/_spinners.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
src/click/formatting.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
benchmarks/snippets.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_0,1,0,1,0,1,0,0,0,0,0,1,0,72.81506731208151
sample_88,1,0,0,0,0,0,0,0,1,0,0,1,81.59018643418794
sample_112,1,0,0,1,0,1,0,0,0,0,1,0,93.29092628058919
sample_38,1,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_56,1,1,0,0,1,0,0,0,0,0,1,0,84.91313699798046
sample_62,1,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_111,1,0,1,1,2,0,0,0,0,0,2,0,87.04185593916334
rich/_log_render.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs/conf.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_34,1,0,1,0,0,0,1,1,0,0,1,1,99.51366722218053
sample_35,1,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_33,1,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/complex/complex/cli.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_55,1,0,0,1,0,1,0,0,1,0,1,1,99.63767547435563
rich/_unicode_data/unicode15-0-0.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/jobs.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_66,1,0,1,0,1,0,0,0,0,0,1,0,72.81506731208151
tests/typing/typing_aliased_group.py,0,0,0,1,1,0,0,0,0,0,1,0,35.97927750186518
rich/_unicode_data/_versions.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs_src/arguments/help/tutorial007_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_48,1,0,0,0,0,0,0,0,1,0,0,1,81.59018643418794
examples/aliases/aliases.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
src/click/_textwrap.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_92,1,0,1,0,0,1,0,0,0,1,1,1,99.79155672300462
docs_src/options/help/tutorial002_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/colors/colors.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_79,1,0,1,1,2,0,0,0,1,0,2,1,99.25284857733936
sample_5,1,0,0,0,0,0,0,1,0,0,0,1,93.12020869568981
examples/completion/completion.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
rich/_ratio.py,0,0,0,1,1,0,0,0,0,0,1,0,35.97927750186518
sample_72,1,0,0,0,0,0,0,0,1,0,0,1,81.59018643418794
sample_50,1,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs_src/commands/help/tutorial005_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs_src/commands/help/tutorial004_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_49,1,2,0,0,2,0,0,0,0,1,2,1,99.90216491972981
examples/exception.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_7,1,0,1,0,1,0,0,0,1,0,1,1,98.14716915906936
sample_61,1,0,0,1,1,0,0,0,0,0,1,0,35.97927750186518
sample_113,1,0,0,1,0,1,0,0,0,0,1,0,93.29092628058919
examples/repo/repo.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/live_progress.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs_src/commands/help/tutorial007_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
rich/_loop.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
rich/_null_file.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs_src/options/version/tutorial003_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_8,1,0,0,0,0,0,0,1,1,0,0,2,99.62781154219864
sample_13,1,0,0,0,0,0,0,0,1,0,0,1,81.59018643418794
examples/listdir.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/top_lite_simulator.py,0,0,0,5,5,0,0,0,0,0,5,0,95.69485920690872
sample_3,1,0,1,1,2,0,0,1,1,0,2,2,99.9875381543304
sample_17,1,0,1,1,0,2,0,1,1,0,2,2,99.99997964146813
sample_54,1,1,0,0,1,0,0,0,1,0,1,1,99.10958858087523
sample_118,1,0,1,0,0,0,1,1,0,0,1,1,99.51366722218053
rich/_emoji_replace.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_6,1,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/downloader.py,0,0,1,0,1,0,0,0,1,0,1,1,98.14716915906936
examples/naval/naval.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_2,1,0,0,0,0,0,0,0,1,0,0,1,81.59018643418794
sample_98,1,0,1,1,2,0,0,0,0,0,2,0,87.04185593916334
sample_80,1,0,0,0,0,0,0,0,2,0,0,2,98.87193150602197
src/click/exceptions.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_73,1,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/export.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_64,1,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
examples/fullscreen.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_89,1,0,0,0,0,0,0,1,0,0,0,1,93.12020869568981
rich/_unicode_data/unicode15-1-0.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
docs_src/commands/help/tutorial005_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_87,1,0,0,0,0,0,0,1,0,0,0,1,93.12020869568981
docs_src/options_autocompletion/tutorial004_an_py310.py,0,0,0,0,0,0,0,0,0,0,0,0,18.307247424443034
sample_59,1,0,0,1,1,0,0,0,0,0,1,0,35.97927750186518
